,Equipe,Adversaire,Buts,Buts_mi_temps,Nb_tirs,Nb_tirs_cadres,Nb_fautes,Corners,Carton_jaune,Carton_rouge,Date,Saison,Resultat_match,D_E,Nb_points
0,Paris SG,Lille,1,0,7,2,17,2,2,1,2015-08-07,2015,Victoire,E,3
1,Rennes,Bastia,1,1,6,3,19,2,1,0,2015-08-08,2015,Defaite,E,0
2,Caen,Marseille,1,1,8,4,10,2,0,0,2015-08-08,2015,Victoire,E,3
3,Angers,Montpellier,2,1,16,6,15,9,2,0,2015-08-08,2015,Victoire,E,3
4,Guingamp,Nantes,0,0,10,4,16,2,2,0,2015-08-08,2015,Defaite,E,0
5,Monaco,Nice,2,0,19,6,18,10,2,0,2015-08-08,2015,Victoire,E,3
6,Ajaccio GFCO,Troyes,0,0,6,1,8,3,4,0,2015-08-08,2015,Nul,E,1
7,Reims,Bordeaux,2,0,14,6,12,3,2,0,2015-08-09,2015,Victoire,E,3
8,Lorient,Lyon,0,0,10,5,12,2,2,0,2015-08-09,2015,Nul,E,1
9,St Etienne,Toulouse,1,1,11,2,10,4,1,0,2015-08-09,2015,Defaite,E,0
10,Lille,Monaco,0,0,9,2,19,6,5,0,2015-08-14,2015,Nul,E,1
11,Nantes,Angers,0,0,2,1,17,2,4,0,2015-08-15,2015,Nul,E,1
12,Toulouse,Caen,0,0,13,4,14,3,3,1,2015-08-15,2015,Defaite,E,0
13,Lyon,Guingamp,1,0,11,3,18,2,2,0,2015-08-15,2015,Victoire,E,3
14,Montpellier,Rennes,0,0,4,0,9,4,1,0,2015-08-15,2015,Defaite,E,0
15,Bordeaux,St Etienne,1,0,17,3,11,8,1,0,2015-08-15,2015,Nul,E,1
16,Nice,Troyes,3,3,18,6,13,3,3,0,2015-08-15,2015,Nul,E,1
17,Bastia,Lorient,1,1,7,2,15,2,2,0,2015-08-16,2015,Nul,E,1
18,Ajaccio GFCO,Paris SG,0,0,8,2,14,1,3,0,2015-08-16,2015,Defaite,E,0
19,Marseille,Reims,0,0,13,4,14,7,2,1,2015-08-16,2015,Defaite,E,0
20,Paris SG,Montpellier,1,0,9,5,8,1,1,0,2015-08-21,2015,Victoire,E,3
21,Angers,Ajaccio GFCO,2,2,9,5,10,3,2,0,2015-08-22,2015,Victoire,E,3
22,Guingamp,Bastia,0,0,15,4,13,5,3,0,2015-08-22,2015,Defaite,E,0
23,Rennes,Lyon,2,1,6,3,13,1,3,0,2015-08-22,2015,Victoire,E,3
24,Reims,Nantes,0,0,2,1,10,2,3,0,2015-08-22,2015,Defaite,E,0
25,Caen,Nice,1,0,12,6,16,3,3,0,2015-08-22,2015,Defaite,E,0
26,Monaco,Toulouse,1,0,14,3,20,5,4,0,2015-08-22,2015,Nul,E,1
27,Bordeaux,Lille,0,0,12,4,23,10,5,0,2015-08-23,2015,Nul,E,1
28,St Etienne,Lorient,1,0,12,5,24,4,3,0,2015-08-23,2015,Victoire,E,3
29,Troyes,Marseille,0,0,6,1,9,5,1,0,2015-08-23,2015,Defaite,E,0
30,Marseille,Guingamp,0,0,14,6,13,8,5,0,2015-08-28,2015,Defaite,E,0
31,Nice,Angers,1,0,11,5,8,6,2,0,2015-08-29,2015,Nul,E,1
32,Lyon,Caen,4,2,13,5,17,3,0,0,2015-08-29,2015,Victoire,E,3
33,Ajaccio GFCO,Lille,0,0,12,6,17,4,3,0,2015-08-29,2015,Defaite,E,0
34,Lorient,Reims,1,0,13,4,8,5,1,0,2015-08-29,2015,Defaite,E,0
35,Toulouse,Rennes,1,1,8,3,9,3,3,0,2015-08-29,2015,Defaite,E,0
36,Montpellier,Troyes,0,0,13,4,10,5,1,0,2015-08-29,2015,Nul,E,1
37,Nantes,Bordeaux,0,0,11,1,17,5,3,1,2015-08-30,2015,Defaite,E,0
38,Paris SG,Monaco,3,0,19,8,12,2,1,0,2015-08-30,2015,Victoire,E,3
