,Saison,Resultat_match,Moy_cote_domicile,Max_cote_domicile,Min_cote_domicile,Moy_cote_exterieur,Max_cote_exterieur,Min_cote_exterieur,Moy_cote_nul,Max_cote_nul,Min_cote_nul,Nb_buts_equipe_dom_an_dernier,Nb_buts_equipe_ext_an_dernier,Num_match_dom,Moy_points_5_match_dom,Moy_buts_5_matchs_dom,Moy_tirs_cadres_5_matchs_dom,Moy_tirs_5_matchs_dom,Nb_jours_dernier_match_dom,Moy_nb_fautes_5_matchs_dom,Moy_corners_5_matchs_dom,Moy_carton_J_5_matchs_dom,Moy_carton_R_5_matchs_dom,Num_match_ext,Moy_points_5_match_ext,Moy_buts_5_matchs_ext,Moy_tirs_cadres_5_matchs_ext,Moy_tirs_5_matchs_ext,Nb_jours_dernier_match_ext,Moy_nb_fautes_5_matchs_ext,Moy_corners_5_matchs_ext,Moy_carton_J_5_matchs_ext,Moy_carton_R_5_matchs_ext,Points_moy_match_saison_dom,Points_moy_match_saison_ext,Pct_buts_par_tirs_cadres_5m_dom,Pct_buts_par_tirs_cadres_5m_ext,note_att_dom,note_mil_dom,note_def_dom,note_gen_dom,note_att_ext,note_mil_ext,note_def_ext,note_gen_ext,Res_an_dernier_A,Res_an_dernier_D,Res_an_dernier_H
2015 - Lille - Paris SG,2015,A,6.22,7.0,4.65,1.65,1.75,1.57,3.63,3.8,3.4,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,75,73,76,75,84,82,82,83,0,0,0
2015 - Bastia - Rennes,2015,H,2.56,2.71,2.3,2.97,3.1,2.8,3.01,3.1,2.88,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,70,71,71,71,76,75,75,75,0,0,0
2015 - Marseille - Caen,2015,A,1.55,1.57,1.5,6.05,6.59,5.5,4.08,4.4,3.7,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,77,76,74,76,71,71,72,71,0,0,0
2015 - Montpellier - Angers,2015,A,1.78,1.83,1.75,5.09,5.53,4.35,3.33,3.5,3.1,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,70,73,74,73,70,71,71,71,0,0,0
2015 - Nantes - Guingamp,2015,H,2.17,2.25,2.1,3.68,4.2,3.4,3.07,3.15,2.9,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,73,72,72,72,73,73,72,73,0,0,0
2015 - Nice - Monaco,2015,A,3.86,4.3,3.1,2.09,2.3,2.0,3.19,3.38,3.1,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,74,75,74,74,77,77,77,77,0,0,0
2015 - Troyes - Ajaccio GFCO,2015,D,2.04,2.1,1.95,3.88,4.43,3.45,3.15,3.26,2.9,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,69,68,67,69,67,68,68,68,0,0,0
2015 - Bordeaux - Reims,2015,A,1.69,1.73,1.62,5.31,5.8,4.85,3.66,3.85,3.5,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,75,73,74,74,73,70,70,72,0,0,0
2015 - Lyon - Lorient,2015,D,1.56,1.6,1.5,6.21,6.67,5.5,4.02,4.3,3.8,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,77,77,77,77,74,71,72,72,0,0,0
2015 - Toulouse - St Etienne,2015,H,2.95,3.2,2.6,2.51,2.6,2.4,3.1,3.2,2.9,0.0,0.0,1,1.0,1.2907501540357327,4.122589340727044,11.919100431300063,8,13.0195009242144,4.7652341343191535,0.0,0.0,1,1.0,1.3224507085643877,4.19021102895871,12.128773875539117,8,12.973359519408495,4.873536660505226,0.0,0.0,1.0,1.0,0.3130920999781416,0.3156047987618953,77,73,70,73,74,75,76,76,0,0,0
2015 - Monaco - Lille,2015,D,1.63,1.7,1.6,6.41,7.0,4.85,3.66,3.8,3.5,0.0,0.0,2,3.0,2.0,6.0,19.0,6,18.0,10.0,2.0,0.0,2,0.0,0.0,2.0,12.0,7,20.0,3.0,3.0,0.0,3.0,0.0,0.3333333333333333,0.0,77,77,77,77,75,73,76,75,0,0,0
2015 - Angers - Nantes,2015,D,2.51,2.6,2.3,3.09,3.4,2.85,3.03,3.1,3.0,0.0,0.0,2,3.0,2.0,6.0,16.0,7,15.0,9.0,2.0,0.0,2,3.0,1.0,4.0,9.0,7,13.0,6.0,2.0,0.0,3.0,3.0,0.3333333333333333,0.25,70,71,71,71,73,72,72,72,0,0,0
2015 - Caen - Toulouse,2015,H,2.3,2.4,2.2,3.22,3.4,3.0,3.25,3.4,3.1,0.0,0.0,2,3.0,1.0,4.0,8.0,7,10.0,2.0,0.0,0.0,2,3.0,2.0,3.0,9.0,6,10.0,3.0,0.0,1.0,3.0,3.0,0.25,0.6666666666666666,71,71,72,71,77,73,70,73,0,0,0
2015 - Guingamp - Lyon,2015,A,3.56,3.78,3.1,2.2,2.3,2.1,3.26,3.4,3.1,0.0,0.0,2,0.0,0.0,4.0,10.0,7,16.0,2.0,2.0,0.0,2,1.0,0.0,6.0,21.0,6,11.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,73,73,72,73,77,77,77,77,0,0,0
2015 - Rennes - Montpellier,2015,H,2.24,2.3,2.1,3.51,3.8,3.2,3.12,3.2,3.0,0.0,0.0,2,0.0,1.0,3.0,6.0,7,19.0,2.0,1.0,0.0,2,0.0,0.0,4.0,11.0,7,12.0,5.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,76,75,75,75,70,73,74,73,0,0,0
2015 - St Etienne - Bordeaux,2015,D,1.98,2.01,1.9,4.12,4.5,3.7,3.29,3.4,3.2,0.0,0.0,2,0.0,1.0,2.0,11.0,6,10.0,4.0,1.0,0.0,2,0.0,1.0,4.0,14.0,6,14.0,4.0,2.0,0.0,0.0,0.0,0.5,0.25,74,75,76,76,75,73,74,74,0,0,0
2015 - Troyes - Nice,2015,D,2.17,2.3,2.1,3.59,4.0,3.1,3.2,3.32,3.1,0.0,0.0,2,1.0,0.0,4.0,12.0,7,11.0,9.0,0.0,0.0,2,0.0,1.0,2.0,5.0,7,18.0,2.0,2.0,1.0,1.0,0.0,0.0,0.5,69,68,67,69,74,75,74,74,0,0,0
2015 - Lorient - Bastia,2015,D,1.89,2.0,1.8,4.47,5.18,3.75,3.33,3.5,3.1,0.0,0.0,2,1.0,0.0,5.0,10.0,7,12.0,2.0,2.0,0.0,2,3.0,2.0,3.0,11.0,8,15.0,6.0,0.0,1.0,1.0,3.0,0.0,0.6666666666666666,74,71,72,72,70,71,71,71,0,0,0
2015 - Paris SG - Ajaccio GFCO,2015,H,1.12,1.15,1.1,25.67,41.0,15.0,9.21,11.0,7.0,0.0,0.0,2,3.0,1.0,2.0,7.0,9,17.0,2.0,2.0,1.0,2,1.0,0.0,1.0,6.0,8,8.0,3.0,4.0,0.0,3.0,1.0,0.5,0.0,84,82,82,83,67,68,68,68,0,0,0
2015 - Reims - Marseille,2015,H,3.41,3.6,3.2,2.21,2.25,2.1,3.26,3.48,3.1,0.0,0.0,2,3.0,2.0,6.0,14.0,7,12.0,3.0,2.0,0.0,2,0.0,0.0,4.0,17.0,8,10.0,14.0,1.0,0.0,3.0,0.0,0.3333333333333333,0.0,73,70,70,72,77,76,74,76,0,0,0
2015 - Montpellier - Paris SG,2015,A,7.91,9.1,6.3,1.47,1.5,1.45,4.17,4.4,3.9,0.0,0.0,3,0.0,0.0,2.0,7.5,6,10.5,4.5,2.0,0.0,3,3.0,1.5,4.0,12.5,5,12.5,3.0,1.5,0.5,0.0,3.0,0.0,0.375,70,73,74,73,84,82,82,83,0,0,0
2015 - Ajaccio GFCO - Angers,2015,A,2.28,2.38,2.2,3.56,3.8,3.3,2.96,3.1,2.8,0.0,0.0,3,0.5,0.0,1.5,7.0,6,11.0,2.0,3.5,0.0,3,2.0,1.0,4.5,13.0,7,13.5,6.5,2.5,0.0,0.5,2.0,0.0,0.2222222222222222,67,68,68,68,70,71,71,71,0,0,0
2015 - Bastia - Guingamp,2015,H,2.36,2.45,2.2,3.34,3.5,3.1,2.98,3.1,2.8,0.0,0.0,3,2.0,1.5,2.5,9.0,6,15.0,4.0,1.0,0.5,3,0.0,0.0,3.5,10.5,7,16.0,5.5,2.0,0.0,2.0,0.0,0.6,0.0,70,71,71,71,73,73,72,73,0,0,0
2015 - Lyon - Rennes,2015,A,1.59,1.62,1.57,6.36,7.0,5.6,3.7,3.9,3.5,0.0,0.0,3,2.0,0.5,4.5,16.0,7,14.5,4.5,1.5,0.0,3,1.5,1.0,2.5,8.0,7,15.0,2.5,2.0,0.0,2.0,1.5,0.1111111111111111,0.4,77,77,77,77,76,75,75,75,0,0,0
2015 - Nantes - Reims,2015,H,2.2,2.3,2.1,3.63,3.8,3.45,3.05,3.15,2.9,0.0,0.0,3,2.0,0.5,2.5,5.5,7,15.0,4.0,3.0,0.0,3,3.0,1.5,5.5,14.5,6,12.5,5.5,2.0,0.0,2.0,3.0,0.2,0.2727272727272727,73,72,72,72,73,70,70,72,0,0,0
2015 - Nice - Caen,2015,H,2.26,2.3,2.15,3.28,3.46,3.1,3.27,3.4,3.1,0.0,0.0,3,0.5,2.0,4.0,11.5,7,15.5,2.5,2.5,0.5,3,3.0,1.0,3.5,8.5,7,12.0,2.5,0.5,0.0,0.5,3.0,0.5,0.2857142857142857,74,75,74,74,71,71,72,71,0,0,0
2015 - Toulouse - Monaco,2015,D,3.04,3.2,2.9,2.49,2.58,2.4,3.13,3.25,2.9,0.0,0.0,3,1.5,1.0,3.5,11.0,7,12.0,3.0,1.5,1.0,3,2.0,1.0,4.5,14.0,8,15.0,7.0,1.5,0.0,1.5,2.0,0.2857142857142857,0.2222222222222222,77,73,70,73,77,77,77,77,0,0,0
2015 - Lille - Bordeaux,2015,D,2.12,2.2,2.0,3.74,4.06,3.3,3.13,3.28,3.0,0.0,0.0,3,0.5,0.0,2.0,10.5,9,19.5,4.5,4.0,0.0,3,0.5,1.0,3.5,15.5,8,12.5,6.0,1.5,0.0,0.5,0.5,0.0,0.2857142857142857,75,73,76,75,75,73,74,74,0,0,0
2015 - Lorient - St Etienne,2015,A,2.63,2.75,2.5,2.88,3.07,2.6,3.01,3.2,2.8,0.0,0.0,3,1.0,0.5,4.5,11.0,7,12.5,3.0,2.5,0.0,3,0.5,1.0,2.0,9.0,8,13.5,2.5,1.5,0.0,1.0,0.5,0.1111111111111111,0.5,74,71,72,72,74,75,76,76,0,0,0
2015 - Marseille - Troyes,2015,H,1.63,1.67,1.55,5.83,6.07,5.25,3.77,4.0,3.5,0.0,0.0,3,0.0,0.0,4.0,15.0,7,12.0,10.5,1.5,0.5,3,1.0,1.5,5.5,11.5,8,11.0,10.0,1.5,0.5,0.0,1.0,0.0,0.2727272727272727,77,76,74,76,69,68,67,69,0,0,0
2015 - Guingamp - Marseille,2015,H,3.92,4.3,3.6,2.04,2.06,2.0,3.28,3.34,3.2,0.0,0.0,4,0.0,0.0,3.6666666666666665,12.0,6,15.0,5.333333333333333,2.3333333333333335,0.0,4,1.0,2.0,5.0,15.333333333333334,5,10.666666666666666,9.0,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.4,73,73,72,73,77,76,74,76,0,0,0
2015 - Angers - Nice,2015,D,2.26,2.3,2.2,3.43,3.7,3.2,3.07,3.18,2.9,0.0,0.0,4,2.3333333333333335,1.3333333333333333,4.666666666666667,11.666666666666666,7,12.333333333333334,5.333333333333333,2.3333333333333335,0.0,4,1.3333333333333333,2.0,4.0,10.0,7,12.666666666666666,2.3333333333333335,2.0,0.3333333333333333,2.333,1.333,0.2857142857142857,0.5,70,71,71,71,74,75,74,74,0,0,0
2015 - Caen - Lyon,2015,A,3.31,3.5,3.1,2.24,2.3,2.15,3.23,3.42,3.1,0.0,0.0,4,2.0,1.0,4.333333333333333,9.666666666666666,7,13.333333333333334,2.6666666666666665,1.3333333333333333,0.0,4,1.3333333333333333,0.6666666666666666,4.333333333333333,15.666666666666666,7,13.666666666666666,5.0,1.3333333333333333,0.0,2.0,1.333,0.23076923076923078,0.15384615384615385,71,71,72,71,77,77,77,77,0,0,0
2015 - Lille - Ajaccio GFCO,2015,H,1.45,1.5,1.4,8.61,10.5,6.3,3.97,4.2,3.75,0.0,0.0,4,0.6666666666666666,0.0,3.0,12.0,6,16.666666666666668,7.0,3.0,0.0,4,0.3333333333333333,0.0,2.0,7.333333333333333,7,11.333333333333334,4.333333333333333,3.0,0.0,0.667,0.333,0.0,0.0,75,73,76,75,67,68,68,68,0,0,0
2015 - Reims - Lorient,2015,H,2.26,2.32,2.2,3.37,3.5,3.2,3.14,3.3,3.0,0.0,0.0,4,2.0,1.0,4.0,10.333333333333334,7,11.666666666666666,4.333333333333333,2.3333333333333335,0.0,4,0.6666666666666666,0.3333333333333333,3.6666666666666665,10.666666666666666,6,12.333333333333334,3.0,1.6666666666666667,0.3333333333333333,2.0,0.667,0.25,0.09090909090909091,73,70,70,72,74,71,72,72,0,0,0
2015 - Rennes - Toulouse,2015,H,2.18,2.25,2.1,3.52,3.75,3.2,3.16,3.25,3.0,0.0,0.0,4,2.0,1.3333333333333333,2.6666666666666665,7.333333333333333,7,14.333333333333334,2.0,2.3333333333333335,0.0,4,1.3333333333333333,1.0,3.6666666666666665,11.666666666666666,7,12.333333333333334,3.3333333333333335,1.0,0.6666666666666666,2.0,1.333,0.5,0.27272727272727276,76,75,75,75,77,73,70,73,0,0,0
2015 - Troyes - Montpellier,2015,D,2.48,2.5,2.38,3.01,3.24,2.75,3.1,3.25,2.88,0.0,0.0,4,0.6666666666666666,1.0,4.0,9.666666666666666,6,10.333333333333334,8.333333333333334,1.3333333333333333,0.3333333333333333,4,0.0,0.0,2.3333333333333335,8.333333333333334,8,11.333333333333334,3.6666666666666665,2.0,0.0,0.667,0.0,0.25,0.0,69,68,67,69,70,73,74,73,0,0,0
2015 - Bordeaux - Nantes,2015,H,2.0,2.07,1.9,4.24,4.5,3.9,3.12,3.35,2.88,0.0,0.0,4,0.6666666666666666,0.6666666666666666,3.6666666666666665,14.333333333333334,7,16.0,7.333333333333333,2.6666666666666665,0.0,4,2.3333333333333335,0.6666666666666666,3.6666666666666665,8.0,8,14.0,3.0,2.3333333333333335,0.0,0.667,2.333,0.18181818181818182,0.18181818181818182,75,73,74,74,73,72,72,72,0,0,0
2015 - Monaco - Paris SG,2015,A,4.1,4.5,3.75,1.99,2.02,1.91,3.23,3.36,3.1,0.0,0.0,4,1.6666666666666667,1.0,4.0,14.0,8,16.666666666666668,6.333333333333333,2.3333333333333335,0.0,4,3.0,1.3333333333333333,4.333333333333333,11.333333333333334,9,11.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.667,3.0,0.25,0.3076923076923077,77,77,77,77,84,82,82,83,0,0,0
2015 - St Etienne - Bastia,2015,H,1.69,1.73,1.62,5.84,6.5,5.0,3.44,3.6,3.2,0.0,0.0,4,1.3333333333333333,1.0,3.0,10.0,7,17.0,3.0,2.0,0.0,4,2.3333333333333335,2.0,3.3333333333333335,9.333333333333334,8,14.666666666666666,3.6666666666666665,1.3333333333333333,0.3333333333333333,1.333,2.333,0.3333333333333333,0.6,74,75,76,76,70,71,71,71,0,0,0
2015 - Paris SG - Bordeaux,2015,D,1.26,1.29,1.22,12.61,13.94,10.3,5.78,6.0,5.5,0.0,0.0,5,3.0,1.75,5.25,13.25,12,11.25,2.25,1.25,0.25,5,1.25,1.0,3.75,15.5,12,14.25,7.25,2.75,0.0,3.0,1.25,0.3333333333333333,0.26666666666666666,84,82,82,83,75,73,74,74,0,0,0
2015 - Lorient - Angers,2015,H,1.98,2.1,1.91,4.25,4.5,3.45,3.22,3.31,3.1,0.0,0.0,5,0.5,0.5,3.75,11.25,14,11.25,3.5,1.5,0.25,5,2.0,1.25,4.0,10.0,14,12.75,4.75,2.25,0.0,0.5,2.0,0.13333333333333333,0.3125,74,71,72,72,70,71,71,71,0,0,0
2015 - Lyon - Lille,2015,D,1.83,1.85,1.8,4.86,5.25,4.1,3.35,3.49,3.1,0.0,0.0,5,1.75,1.5,4.5,15.0,14,14.5,4.5,1.0,0.0,5,1.25,0.25,3.5,12.25,14,15.75,7.0,2.5,0.0,1.75,1.25,0.3333333333333333,0.07142857142857142,77,77,77,77,75,73,76,75,0,0,0
2015 - Montpellier - St Etienne,2015,A,2.68,2.85,2.5,2.9,3.1,2.6,3.04,3.2,2.9,0.0,0.0,5,0.25,0.0,2.75,9.5,14,11.0,4.0,1.75,0.0,5,1.75,1.25,3.75,13.25,13,15.5,5.25,1.75,0.0,0.25,1.75,0.0,0.3333333333333333,70,73,74,73,74,75,76,76,0,0,0
2015 - Nice - Guingamp,2015,A,2.22,2.3,2.0,3.52,3.75,3.3,3.13,3.29,3.0,0.0,0.0,5,1.25,1.75,4.25,10.25,14,11.5,3.25,2.0,0.25,5,0.75,0.5,4.0,12.0,15,13.75,5.0,2.0,0.0,1.25,0.75,0.4117647058823529,0.125,74,75,74,74,73,73,72,73,0,0,0
